deck_size,shuffle_count
2,1
4,2
6,4
8,3
10,6
12,10
14,12
16,4
18,8
20,18
22,6
24,11
26,20
28,18
30,28
32,5
34,10
36,12
38,36
40,12
42,20
44,14
46,12
48,23
50,21
52,8
54,52
56,20
58,18
60,58
62,60
64,6
66,12
68,66
70,22
72,35
74,9
76,20
78,30
80,39
82,54
84,82
86,8
88,28
90,11
92,12
94,10
96,36
98,48
100,30
102,100
104,51
106,12
108,106
110,36
112,36
114,28
116,44
118,12
120,24
122,110
124,20
126,100
128,7
130,14
132,130
134,18
136,36
138,68
140,138
142,46
144,60
146,28
148,42
150,148
152,15
154,24
156,20
158,52
160,52
162,33
164,162
166,20
168,83
170,156
172,18
174,172
176,60
178,58
180,178
182,180
184,60
186,36
188,40
190,18
192,95
194,96
196,12
198,196
200,99
